name,company,technology,job,location,salary
Junior Business Data Analyst / BI engineer,NIX Tech Kft.,"Data, power bi, tableau, dbms",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '5553', 'high': '7774', 'currency': 'PLN'}"
Assistant Financial Data Analyst,Flexion Mobile Plc Magyarországi Fióktelepe,"Data, ms excel, data processing, accounting",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '6664', 'high': '9996', 'currency': 'PLN'}"
"Data Analyst - Dataverse, Data Factory, Power BI",Scale sp. z o.o.,"Data, power bi, azure data factory, dataverse",data analyst,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '33600', 'high': '42000', 'currency': 'PLN'}"
Data Analyst,GOG,"Data, sql, analyzing data, data visualization",data analyst,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '14000', 'high': '21000', 'currency': 'PLN'}"
Python Data Analyst / Programmer,Polskie Technologie,"Data, sql, sql server, python",data analyst,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '8700', 'high': '15000', 'currency': 'PLN'}"
Data Analyst,AVENGA,"Data, data analysis, excel, access",data analyst,"{'city': 'Gdańsk   \xa0+2', 'country': 'N/A', 'remotely': False}","{'low': '13440', 'high': '16800', 'currency': 'PLN'}"
Medior/Senior Business Data Analyst / BI engineer,NIX Tech Kft.,"Business Analysis, hungarian language, dwh, sql",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Data Analyst (Product Data Analyst) (mid/senior),Revolut Ltd,"Data, python, sql, polski",data analyst,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Analityk Danych / Analityczka Danych,Alterdata.io sp. z o.o.,"Data, sql, python, aws",data analyst,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '7000', 'high': '11000', 'currency': 'PLN'}"
Data Analyst (Treasury & Investments) (mid/senior),Revolut Ltd,"Data, python, sql, scala",data analyst,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Analyst (Engineer) (mid/senior),Revolut Ltd,"Data, python, sql, java",data analyst,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Senior Analityk Danych / Analityczka Danych,Alterdata.io sp. z o.o.,"Data, sql, python, aws",data analyst,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '15000', 'high': '21000', 'currency': 'PLN'}"
