name,company,technology,job,location,salary,location_city,location_country,location_remote,salary_low,salary_high,salary_currency,salary_avg,is_senior,is_present
Junior Business Data Analyst / BI engineer,NIX Tech Kft.,"Data, power bi, tableau, dbms",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '5553', 'high': '7774', 'currency': 'PLN'}",budapest,hu,False,5553.0,7774.0,PLN,6663.5,0,True
Assistant Financial Data Analyst,Flexion Mobile Plc Magyarországi Fióktelepe,"Data, ms excel, data processing, accounting",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '6664', 'high': '9996', 'currency': 'PLN'}",budapest,hu,False,6664.0,9996.0,PLN,8330.0,0,True
"Data Analyst - Dataverse, Data Factory, Power BI",Scale sp. z o.o.,"Data, power bi, azure data factory, dataverse",data analyst,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '33600', 'high': '42000', 'currency': 'PLN'}",n/a,N/A,True,33600.0,42000.0,PLN,37800.0,0,True
Data Analyst,GOG,"Data, sql, analyzing data, data visualization",data analyst,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '14000', 'high': '21000', 'currency': 'PLN'}",warszawa,n/a,False,14000.0,21000.0,PLN,17500.0,0,True
Python Data Analyst / Programmer,Polskie Technologie,"Data, sql, sql server, python",data analyst,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '8700', 'high': '15000', 'currency': 'PLN'}",warszawa,n/a,False,8700.0,15000.0,PLN,11850.0,0,True
Data Analyst,AVENGA,"Data, data analysis, excel, access",data analyst,"{'city': 'Gdańsk   \xa0+2', 'country': 'N/A', 'remotely': False}","{'low': '13440', 'high': '16800', 'currency': 'PLN'}",gdansk,n/a,False,13440.0,16800.0,PLN,15120.0,0,True
Medior/Senior Business Data Analyst / BI engineer,NIX Tech Kft.,"Business Analysis, hungarian language, dwh, sql",data analyst,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}",budapest,hu,False,8885.0,12217.0,PLN,10551.0,1,True
Data Engineer,Sii Polska,"Data, hadoop, spark, python",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16800', 'high': '24150', 'currency': 'PLN'}",warszawa,n/a,False,16800.0,24150.0,PLN,20475.0,0,True
Data Engineer III - Forecasting,Tesco Technology,"Data, python, hadoop, spark",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '26000', 'high': '40000', 'currency': 'PLN'}",krakow,n/a,False,26000.0,40000.0,PLN,33000.0,0,True
Data Engineer III - Fulfillment,Tesco Technology,"Data, scala, hadoop, kafka",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '26000', 'high': '40000', 'currency': 'PLN'}",krakow,n/a,False,26000.0,40000.0,PLN,33000.0,0,True
